61,BB BI PERURI,https://strava.app.link/UOLfljHGwEb,Tidak ada temuan,Tidak ada,2023-11-07
62,Akses PPP TP,https://strava.app.link/Wf6f143GwEb,Tidak ada temuan,Tidak ada,2023-11-07
63,jalur La bts batu Ampar,https://strava.app.link/CV3MjveIwEb,Tidak ada temuan,Tidak ada,2023-11-07
64,Akses Diskominfo PSDA,https://strava.app.link/qqaKP8EIwEb,Tidak ada temuan,Tidak ada,2023-11-07
65,Akses Sharp,https://strava.app.link/IQYrZHjLwEb,Tidak ada temuan,Tidak ada,2023-11-07
66,AKSES BTS HIPIA MULIA KARAWANG,https://strava.app.link/b38WIM9LwEb,Tidak ada temuan,Tidak ada,2023-11-07
67,Akses pegadaian,https://strava.app.link/8A3YsuUMwEb,Tidak ada temuan,Tidak ada,2023-11-07
68,Jalur BB Tegar Beriman,https://strava.app.link/5SEcXFG7xEb,Tidak ada temuan,Tidak ada,2023-11-08
69,AKSES BTS NARAYANA KARAWANG,https://strava.app.link/NgB17AucyEb,Tidak ada temuan,Tidak ada,2023-11-08
70,Akses Polres Cibinong,https://strava.app.link/ZJ3qhTFeyEb,Tidak ada temuan,Tidak ada,2023-11-08
71,AKSES BTS PURABAYA KARAWANG,https://strava.app.link/dvu0YRFfyEb,Tidak ada temuan,Tidak ada,2023-11-08
72,AKSES BTS GALUH MAS KARAWANG,https://strava.app.link/cdjuRcOkyEb,Tidak ada temuan,Tidak ada,2023-11-08
73,Akses Bank BJB Cibinong,https://strava.app.link/RoCWuqglyEb,Tidak ada temuan,Tidak ada,2023-11-08
74,XCC Simpang Depok - XCC Citeureup,https://strava.app.link/DiAZzFsryEb,Tidak ada temuan,Tidak ada,2023-11-08
75,AKSES BTS BABAKAN KARAWANG,https://strava.app.link/ihFO3dusyEb,Tidak ada temuan,Tidak ada,2023-11-08
76,AKSES BTS TELUKJAMBE KARAWANG,https://strava.app.link/gNQYvtnvyEb,Tidak ada temuan,Tidak ada,2023-11-08
77,Jalur DWDM TBS-DCI,https://strava.app.link/MFVkuekBzEb,Tidak ada temuan,Tidak ada,2023-11-08
78,Jalur DWDM HHR-KGD,https://strava.app.link/t3Ox3S2ayEb,Ada Pekerjaan Pom Shell Jl Sultan Agung,Monitoring,2023-11-08
79,Jalur DWDM HHR-DCI,https://strava.app.link/LwmtU6TPzEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-08
80,jalur La akses yakult,https://strava.app.link/WvU37srLzEb,Tidak ada temuan,Tidak ada,2023-11-09
81,jalur La bts ciracas_psr rebo,https://strava.app.link/lNuL5HYOzEb,Tidak ada temuan,Tidak ada,2023-11-09
82,AKSES BTS SGC CIKARANG,https://strava.app.link/Yc7XyaDPzEb,Tidak ada temuan,Tidak ada,2023-11-09
83,jalur La bts anik ciracas,https://strava.app.link/03YZdrAQzEb,Tidak ada temuan,Tidak ada,2023-11-09
